Author (year),Country/countries,Setting,Population,Compared strategies,Included treatment,Type of economic evaluation,Model type,Perspective,Clinical outcomes,Time horizon,Discount rate,Inclusion of stochasticity,Inclusion of AMR,ICER,Currency (year),Reporting of uncertainty,Main findings,Cost-effectiveness verdict,CHEERS score,groupname,row
Abimbola (2012),Resource-limited countries in sub-Saharan Africa,Primary care,A group of patients eligible for antiretroviral therapy based on the presence of clinical illness and/or a CD4 cell count of <200 cells/microliter.,"Current practice (symptom screening, sputum smear microscopy, and chest radiography); culture as recommended by WHO guidelines (2007); the WHO algorithm as updated in 2011 and is based on the Xpert MTB/RIF test.",Non-specified TB therapy,CEA,Decision tree,Health system perspective,Synthesis-based estimates,182 days,"NA",Yes,No,"culture: $60,430/death averted; Xpert: dominated",US dollars (2010),"Tornado diagram of DSA, CEAC","A diagnostic approach that includes culture was most effective at averting early deaths, but it was not the least costly approach compared with other algorithms considered. The algorithm with Xpert cost less and was more effective in reducing early mortality compared with the current practice.",Cost-effective,16,decision tree model,1
Ang (2015),Singapore,Hospital,Patients visiting an eye centre with signs suggestive of TB uveitis,TST only; Interferon-gamma release assay (IGRA) following a positive TST;  IGRA only; TST and IGRA simultaneously,Non-specified TB therapy,CEA,Decision tree,Not specified,Single-study based estimates,30 years,economic: NA; health: 3%,Yes,No,TSt: $3611/QALY; IGRA: dominated; TST and IGRA: 11506/QALY (using TST followed by IGRA as reference),Singapore dollars (2010),"Table of DSA, Tornado diagram of DSA, Sensitivity analysis graph (with one parameter varied), CEAC","In the context of our study population, while recognising the difficulties of diagnosing TB uveitis, our results suggest that the dual-test strategy of performing TST and IGRA simultaneously appears to be the most cost-effective strategy relative to the other strategies.",Cost-effective,14,decision tree model,2
Balk (2001),"NA",Primary care,"Patients with suspected, uncomplicated, community-acquired, acute bacterial sinusitis who had had symptoms for less than 4 weeks and who had not had recurrent sinusitis",No patients given antibiotic treatment; all patients given empirical amoxicillin treatment; patients given amoxicillin based on the results of a set of clinical criteria; patients given amoxicillin based on the results of sinus radiography (plain film x-ray),"10-day course of amoxicillin, 250 mg 3 times a day.",CEA,Markov (compartimental) model,Societal perspective,"QALYs, Days free from disease",14 days,"NA",No,Yes,34.0 costs/symptom free day (in a mild scenario),US dollars (year NA),"Deterministic sensitivity analysis (DSA), Table of DSA, Sensitivity analysis graph (with one parameter varied)",The best strategy for diagnosing and treating acute sinusitis depends in part on the prevalence of the bacterial sinusitis (or the likelihood that a given patient actually has the disease),"Cost-saving, Cost-effective",15,markov model,3
Behnamfar (2020),Iran,Hospital,All the hospitalized patients between the years 2011 and 2015,"Treatment for all; no treatment; treatment based on the rapid test for a streptococcal antigen; treatment based on the culture test result; treatment based on RTA plus culture; treatment based on the RTA result, and in the case of a negative result, culturing.",Penicillin,CEA,Decision tree,Healthcare payer's perspective,Synthesis-based estimates,"NA","NA",Yes,No,RTA + culture: 0.007564; RTA: 0.048541; Culture: 0.049706 (unit: costs /quality-adjusted life day),Not reported,Tornado diagram of DSA,The most effective mean observed quality‑adjusted life days was the simultaneous diagnostic treatment of RTA and culture; the highest amount of saving (monetary cost) was detected in RTA before treatment.,Cost-effective,14,decision tree model,4
Bertran (2000),Spain,"Primary care, Hospital","Patients with CAP, less than 65 years old, without hospital admission criteria; Patients with AECB due to respiratory infection.",Simple chest x-ray and a blood count; empirical antibiotics,"Macrolides (erythromycin, clarithromycin, azithromycin, roxithromycin); Fluoroquinolones (ciprofloxacin, ofloxacin); Cephalosporins (cefuroxime, ceftriaxone); Betalactam (penicillin, amoxicillin, amoxicillin clavulanic acid).",CEA,Decision tree,Healthcare centre's perspective,Clinical effectiveness of the first antibiotic option,from the moment the treatment started in primary care to the final healing or clinical failure after a third antibiotic option prescribed in hospital administration,"NA",No,No,"Patients with community-acquired pneumonia (CAP): Betalactam antibiotic treatment is the most cost-effective strategy. Hospitalization, directly related to the success rate of the first empirical antibiotic treatment, is the main driver of the final average cost per patient, rating from 50% to 70% of total cost. Acquisition costs of the first empirical antibiotic treatment represents just a small fraction of the total costs (between 2% and 13%)",Spanish peseta (1998),Deterministic sensitivity analysis (DSA),The model indicates that acquisition costs of the initial empirical antibiotic represent a small fraction of total treatment costs in patients with lower respiratory tract infections acquired in the community,Cost-effective,9,decision tree model,5
Bogdanova (2019),Russian federation,A centre dedicated to the diagnosis and treatment of TB,All the patients diagnosed with MDR-TB,LPA-based diagnostic algorithm (smear positive (SSm+) and for smear negative(SSm-) culture confirmed TB patients by Bactec MGIT or LJ; conventional culture-based algorithm (LJ–for SSm- and SSm+ patients and BacTAlert–for SSm+patients).,NA,CMA,Clinical trial (PROVE-IT Russia),"Societal perspective, Healthcare system perspective",Single-study based estimates,TB treatment duration,"NA",No,Yes,SSm+ LPA-based diagnostics reducuded the costs by 4.5 compared to LJ and by 2.5 times compared to BacTAlert liquid culture,US dollars (2014),Deterministic sensitivity analysis (DSA),TB diagnostic algorithms incorporating LPA method proved to be both more clinically effective and less expensive due to reduction in the number of hospital days to the correct MDR-TB diagnosis and treatment initiation,Cost-saving,15,trial-based analysis,6
Böhmer (2002),Germany,Hospital,Patients hospitalized with community-acquired pneumonia in the internal medicin department,"Current practice; Inquaro, a computer system to aid in diagnosing community-acquired pneumonia patients","Levofloxacin, clarithromycin, ampicillin/sulbactam; ceftriaxon; erythomycin; ampicillin; cefazolin; doxycyclin","CA, CEA",Differences are calculated using T tests,Healthcare centre’s perspective,"Days with symptoms, days with antibiotics, hospital length of stay, application time",Hospital addmission,"NA",No,No,"No incremental cost-effectiveness outcomes reported, only individual costs (microbiology: -11.77; imaging procedures: 8.32; antibiotic costs: -114.04; application costs: -100.41) and individual effects (application time (h): -5.4; days with symptoms: -3.5; days with antibiotics: -3; hospital length-of-stay (days): -3)","NA",Deterministic sensitivity analysis (DSA),"Improvements were found for the patients (fewer infusions, faster symptom resolution and a shorted length-of-stay)",Cost-saving,11,trial-based analysis,7
Bonnet (2010),Kenya,Primary care/urban health clinic,TB-suspected patients (cough of at least 2 weeks),Bleach smear (B) and direct smear (D) (under microscope) in various combinations and orders: D1+D2; B1; B1+B2; D1+B1; B1+D2; D1+B2; D1+B1+D2; D1+D2+B2; D1+B1+B2; B1+D2+B2,Not specified,CEA,Decision tree,Health service provider's perspective,Single-study based estimates,"NA","NA",No,No,"B1+B2: €50; D1+B1: €276; : €71; D1+B1+D2, D1+B2, B1+D2, D1+D2+B2, D1+B1+B2, B1+D2+B2: dominated, measure of effectiveness: costs / proportion of smear-positive patients detected among the total number of PTB suspects (using D1+D2 and B1 as references)",Euros (2006),Table of DSA,"Considering all potential combinations of direct smear and smear after overnight NaOCl sedimentation, the approaches based on the single examination of the first concentrated specimen or based on the examination of two concentrated specimens were the most cost-effective: B1 due to its low cost, and B1+B2 dueto its effectiveness and low ICER compared to B1.",Cost-effective,14,decision tree model,8
Cals (2011),The Netherlands,Primary care,"Eligible patients were aged 18 years or older, consulting with their GP with a new episode of acute cough of up to 28 days and caused by an lower respiratory tract infections (LRTIs) in the GPs view",GPs managed patients in the usual care group with the availability of the Dutch College of GPs guidelines for acute cough: GP use of CRP; GP communication skills training; GP use of CRP and GP communication skills training,NA,CEA,Decision tree,Healthcare payer's perspective,Antibiotic prescriptions saved,28 days,"NA",No,No,The ICER of GP use of CRP versus usual care was €5.79 and for GP use of both CRP and Communication versus usual care €4.15. Communication was superior to usual care costs or savings /antibiotic prescription saved,Euros (Unclear. 2010),Probabilistic sensitivity analysis (PSA),"The interventions are cost-effective in any combination (yielding NMB at no willingness-to pay), taking into account GPs’ preferences where at least 15% of GPs chose to implementthe communication skills training.",Cost-effective,15,decision tree model,9
Cowan (2017),United States,Hospital,Inpatients placed in airborne infection isolation for presumptive pulmonary TB.,1 Xpert on an unconcentrated sputum sample; 1 Xpert on a concentrated sample; 2 Xperts on concentrated sputum samples; 2 smears; and 3 smears,Non-specified TB therapy,CEA,Decision tree,Healthcare centre's perspective,Single-study based estimates,"NA","NA",Yes,No,"XPERT 2 concentrated: $2826682/accurately diagnosed case; 2 smears: $-320893/accurately diagnosed case; 3 smears: $-363987/accurately diagnosed case (reference 1 Xpert concentrated and unconcentrated, which are expected to have equal performance)",US dollars (unknown year),"Tornado diagram of DSA, Two-way sensitivity analysis graph, Probabilistic sensitivity analysis (PSA), CE plane, CEAC","The present study supports analyses suggesting that Xpert implementation in the United States is cost-effective and can reduce AII duration. .A single-Xpert strategy was cost-saving in a variety of sensitivity analyses, suggesting that replacement of 3 AFB smears with Xpert to determine the need for AII would result in cost savings for most US hospitals.",Cost-effective,15,decision tree model,10
